"Fecha_Ocurrencia","Codigo_Accidente","Direccion","Barrio","Vehiculos Involucrados","Heridos","Accidente con","Muertes","Clase de Accidente"
"2023 Oct 23 12:00:00 AM","A001602228","KILOMETRO 24+450 MTS     VÍA ACACÍAS-DINAMARCA","VÍA ACACÍAS-DINAMARCA","2","3","HERIDOS","NO APLICA","CHOQUE"
"2023 Oct 29 12:00:00 AM","A001602229","CALLE 19 CARRERA 16   SAN CRISTOBAL","SAN CRISTOBAL","1","1","HERIDOS","NO APLICA","ATROPELLO"
"2023 Oct 29 12:00:00 AM","A001602230","KILOMETRO 1 VIA CRUCE VAQUEROS CHICHIMENE    LOMA DE TIGRE","No registra","2","1","HERIDOS","NO APLICA","CHOQUE"
"2023 Oct 31 12:00:00 AM","A001602231","CALLE 14 N 26 -29  BARRIO SAN JOSE","No registra","2","2","HERIDOS","NO APLICA","CHOQUE"
"2023 Oct 31 12:00:00 AM","A001602232","CALLE 14 CARRERA 23   COOPERATIVO","COOPERATIVO","1","1","MUERTOS","1","ATROPELLO"
"2023 Nov 01 12:00:00 AM","A001602233","CALLE 18 CARRERA 19   MANCERA","MANCERA","2","1","HERIDOS","NO APLICA","CHOQUE"
"2023 Nov 02 12:00:00 AM","A001602234","KILOMETRO 3 VIA ACACIAS  DINAMARCA","No registra","2","2","HERIDOS","NO APLICA","CHOQUE"
"2023 Nov 04 12:00:00 AM","A001602236","CARRERA 33 CALLE 16C   BACHUE","BACHUE","2","2","HERIDOS","NO APLICA","CHOQUE"
"2023 Nov 03 12:00:00 AM","A001602235","CALLE 10A CARRERA 28   SIN INFORMACIÓN DEL BARRIO","SIN INFORMACIÓN DEL BARRIO","2","1","HERIDOS","NO APLICA","CHOQUE"
"2023 Nov 06 12:00:00 AM","A001602237","CARRERA 17 N 16-32    SIN INFORMACIÓN DEL BARRIO","SIN INFORMACIÓN DEL BARRIO","2","2","HERIDOS","NO APLICA","CHOQUE"
"2023 Nov 18 12:00:00 AM","A001602240","AVENIDA 23 N 27B-30    SIN INFORMACIÓN DEL BARRIO","SIN INFORMACIÓN DEL BARRIO","2","1","HERIDOS","NO APLICA","CHOQUE"
"2023 Nov 16 12:00:00 AM","A001602238","KILOMETRO 52+260 MTS     VÍA GRANADA-VILLAVICENCIO","VÍA GRANADA-VILLAVICENCIO","2","5","HERIDOS","NO APLICA","CHOQUE"
"2023 Nov 18 12:00:00 AM","A001602239","CALLE 14 N. 18-56    CENTRO","CENTRO","2","1","HERIDOS","NO APLICA","CHOQUE"
"2023 Nov 27 12:00:00 AM","A001602241","CALLE 14 CARRERA 33   SIN INFORMACIÓN DEL BARRIO","SIN INFORMACIÓN DEL BARRIO","2","0","MUERTOS","1","CHOQUE"
"2023 Nov 27 12:00:00 AM","A001602242","CALLE 19 CARRERA 18   MANCERA","MANCERA","2","1","HERIDOS","NO APLICA","CHOQUE"
"2023 Nov 28 12:00:00 AM","A001602243","AVENIDA 23 CALLE 19   ATAHUALPA","ATAHUALPA","2","1","HERIDOS","NO APLICA","CHOQUE"
"2023 Nov 29 12:00:00 AM","A001602244","KILOMETRO 18+850 MTS VIA ACACIAS -SAN CARLOS DE GUAROA     SANTA ROSA","No registra","2","1","HERIDOS","NO APLICA","CHOQUE"
"2023 Dec 02 12:00:00 AM","A006102247","CARRERA 23 N 14-30    COOPERATIVO","COOPERATIVO","2","2","HERIDOS","NO APLICA","CHOQUE"
"2023 Dec 03 12:00:00 AM","A001602249","CALLE 17 N .8 -57   B/PALERMO","No registra","2","2","HERIDOS","NO APLICA","CHOQUE"
"2023 Dec 01 12:00:00 AM","A001602246","CALLE 12 CARRERA 28   SAMAN","SAMAN","2","2","HERIDOS","NO APLICA","CHOQUE"
"2023 Dec 01 12:00:00 AM","A001602245","CALLE 12 N 32 -54    NUTIVARA","NUTIVARA","1","1","HERIDOS","NO APLICA","ATROPELLO"
"2023 Dec 02 12:00:00 AM","A001602248","CARRERA 18 CALLE  7   BALCONES DE SANTA ISABEL","BALCONES DE SANTA ISABEL","1","2","HERIDOS","NO APLICA","ATROPELLO"
"2023 Dec 06 12:00:00 AM","A001602250","CALLE 15 CARRERA  29   SIN INFORMACIÓN DEL BARRIO","SIN INFORMACIÓN DEL BARRIO","2","3","HERIDOS","NO APLICA","CHOQUE"
"2023 Dec 08 12:00:00 AM","A001602251","CALLE 14 CARRERA 12   JUAN MELLAO","JUAN MELLAO","2","2","HERIDOS","NO APLICA","CHOQUE"
"2023 Dec 08 12:00:00 AM","A001602252","CARRERA 14 CALLE  17   SAN CRISTOBAL","SAN CRISTOBAL","2","2","HERIDOS","NO APLICA","CHOQUE"
"2023 Dec 19 12:00:00 AM","A001602254","CARRERA 23 CALLE  21A   LA TIZA","LA TIZA","2","2","HERIDOS","NO APLICA","CHOQUE"
"2023 Dec 22 12:00:00 AM","A001602255","CARRERA 23 N .9 -15    PABLO EMILIO RIVEROS","PABLO EMILIO RIVEROS","1","0","MUERTOS","1","CHOQUE"
"2023 Dec 18 12:00:00 AM","A001602253","AVENIDA 23 N.27-06    DON BOSCO","DON BOSCO","3","2","HERIDOS","NO APLICA","CHOQUE"
"2023 Dec 22 12:00:00 AM","A001602256","CARRERA 24 CALLE  45179 EVEREST","No registra","1","1","HERIDOS","NO APLICA","ATROPELLO"
"2023 Dec 25 12:00:00 AM","A001602259","CALLE 13 CARRERA  20   COOPERATIVO","COOPERATIVO","2","1","HERIDOS","NO APLICA","CHOQUE"
"2023 Dec 24 12:00:00 AM","A001602258","AVENIDA 23 CARRERA 27A  VIILA  CLAUDIA","No registra","1","1","HERIDOS","NO APLICA","CHOQUE"
"2023 Dec 24 12:00:00 AM","A001602257","CARRERA 14 N. 9-103   LA UNION","LA UNION","1","1","HERIDOS","NO APLICA","OTRO"
"2023 Dec 30 12:00:00 AM","A001602260","AVENIDA 23 N. 27B-30 SAIN THOMAS","No registra","2","1","HERIDOS","NO APLICA","CHOQUE"
"2023 Dec 30 12:00:00 AM","A001602261","CALLE 18 CARRERA 18   MANCERA","MANCERA","2","3","HERIDOS","NO APLICA","CHOQUE"
"2022 Jan 01 12:00:00 AM","A001371865","CALLE 9 CARRERA  22   PABLO EMILIO RIVEROS","PABLO EMILIO RIVEROS","2","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Jan 02 12:00:00 AM","A001371866","CARRERA 23 CALLE  17   COOPERATIVO","COOPERATIVO","2","2","HERIDOS","NO APLICA","CHOQUE"
"2022 Jan 03 12:00:00 AM","A001371867","KILOMETRO 1+700 MTS RURAL     LOMA DE TIGRE","No registra","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Jan 05 12:00:00 AM","A001371868","AVENIDA 23 CARRERA  27   LOS OLIVOS","LOS OLIVOS","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Jan 07 12:00:00 AM","A001371869","CARRERA 23 # 14 53   COOPERATIVO","COOPERATIVO","4","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Jan 16 12:00:00 AM","A001371872","CARRERA 23 #14 27   SAN JOSÉ","SAN JOSÉ","2","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Jan 10 12:00:00 AM","A001371870","KILOMETRO 1+700 MTS     VÍA ACACÍAS-GUAMAL","VÍA ACACÍAS-GUAMAL","2","0","HERIDOS","NO APLICA","CHOQUE"
"2022 Jan 14 12:00:00 AM","A001371871","CARRERA 49 CALLE 20   BRISAS DE LA COLINA","BRISAS DE LA COLINA","2","0","HERIDOS","NO APLICA","CHOQUE"
"2022 Jan 17 12:00:00 AM","A001371873","KILOMETRO 15+9 MTS     VÍA ACACÍAS-DINAMARCA","VÍA ACACÍAS-DINAMARCA","2","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Jan 19 12:00:00 AM","A001371874","CARRERA 14 CALLE 26   GUARATARA II","GUARATARA II","2","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Jan 27 12:00:00 AM","A001371875","KILOMETRO 27+100 MTS     VÍA ACACÍAS-VILLAVICENCIO","VÍA ACACÍAS-VILLAVICENCIO","2","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Jan 28 12:00:00 AM","A001371877","CARRERA 31 CALLE 16C   BACHUE","BACHUE","2","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Jan 31 12:00:00 AM","A001371878","CALLE 14 CARRERA  31   BACHUE","BACHUE","2","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Jan 27 12:00:00 AM","A001371876","CARRERA 23 # 9 74","No registra","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Jan 08 12:00:00 AM","C-0088589","KILOMETRO 44+800 MTS     VÍA GRANADA-VILLAVICENCIO","VÍA GRANADA-VILLAVICENCIO","3","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
